Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Denmark	DNK	17.0225191680226	18.4676233912664	18.5150763089292	18.3578991655054	18.1736518002699	17.9623737087592	17.8277642360179	17.5923393296735	17.3153496803954	17.0677393025801	16.8810076977203	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Djibouti	DJI	44.8203128717987	41.4465471475112	36.1820022044041	35.4630891051444	34.7973471430819	34.2134467658961	33.8172159248849	33.5037376812427	33.2490509557529	33.0033760417451	32.7354169177383	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Dominica	DMA	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Dominican Republic	DOM	38.6967147323239	35.048314050496	32.5172216133773	32.1237471191536	31.7566801808853	31.4327777689657	31.0914178918415	30.7966805829147	30.5287174674908	30.2550667440712	29.9588417641404	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Ecuador	ECU	38.218942199052	34.7386677030447	31.8570813416429	31.488212575099	31.1166124736324	30.7313937240889	30.4049078622784	30.0496066894028	29.6846841439593	29.3376950491344	29.0192744055619	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Egypt, Arab Rep.	EGY	40.9844869626941	36.3373081443517	32.3799602055668	32.08717186696	31.9279102450929	31.9387024979244	31.9712679797117	32.2500549900817	32.648534149983	32.9823697720699	33.1602801343759	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	El Salvador	SLV	39.9025757785198	36.0641284440924	32.5667586638679	31.9050884222858	31.2286842458392	30.5346896960836	29.8018003675514	29.0426273168372	28.2954143132177	27.6152126510346	27.0286063210112	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Equatorial Guinea	GNQ	37.8911022013287	42.9391067176999	40.7120477982812	40.4878589030097	40.2582177881794	40.0192120322213	39.9108824132595	39.7615961144018	39.5926642428257	39.4239144338123	39.2608808841976	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Eritrea	ERI	46.9557829468032	46.2039581845893	41.9852806175886	42.0607256126798	42.1879901575013	42.3453791145805	42.4816183839545	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Estonia	EST	22.1823013824649	17.5825236126349	14.9227105717536	14.9240899412735	15.0017252826133	15.1333732205581	15.2801663770229	15.4233255792876	15.5972879815159	15.8226352621898	16.0878224048004	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Ethiopia	ETH	46.2939228077337	46.495159210436	45.6879513674337	45.347618876584	44.9294008580023	44.4417643060707	43.8899002050953	43.3060695991942	42.6964226351862	42.0709451934664	41.4402275865712	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Faroe Islands	FRO	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Fiji	FJI	38.4386502814887	35.0261272177934	30.0931200425527	29.7499069029395	29.3725215823369	28.9971998437122	28.9658917570882	28.9067880177268	28.8454003295903	28.7944046477523	28.7446547366179	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Finland	FIN	19.3157405541334	18.1523281641856	17.0414303656056	16.8378505015835	16.6511843025493	16.5065513247498	16.4398860153867	16.3750653499105	16.3333951334856	16.3233120303085	16.3383306165561	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	France	FRA	19.8594324505154	18.7907195396017	18.436803112949	18.443214359717	18.4526863686076	18.4556088695731	18.4718344013888	18.4954082010078	18.5105712033681	18.5064735716549	18.4835332429697	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	French Polynesia	PYF	35.5865302213036	31.7524139471566	26.1206555513307	25.2095086295111	24.3843533826654	23.7539402756794	22.9578161573052	22.6452378778194	22.5909251858971	22.4700748085109	22.1410787794769	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Gabon	GAB	41.5727068716928	40.6874924891275	38.6401018251068	38.3864600360579	38.1375428876205	37.8921044712621	37.7540578888707	37.6038510333817	37.4488214931248	37.2914065698746	37.126932716317	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Gambia, The	GMB	46.1159388358124	45.8847731602302	46.3697520996808	46.4095455550941	46.4085340219257	46.3754915824081	46.4267031197205	46.4367929310257	46.4029250974086	46.3185632618176	46.184284282072	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Georgia	GEO	24.6148157549326	21.9138201417449	17.578276676201	17.2475473661671	17.0272770775354	16.9238508356917	17.0057627953096	17.0731978390498	17.1373692142531	17.2123147417922	17.3274643908264	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Germany	DEU	15.9266347347649	15.3817274791145	13.9112317970122	13.780343581587	13.655599869771	13.5214328205399	13.3732829350299	13.229405986872	13.0939021429933	12.9772400362462	12.8858241278238	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Ghana	GHA	43.8171867330769	41.4301539750823	39.8020759994178	39.5378959408882	39.292171217641	39.0927912937941	39.0015998955092	38.9653219774931	38.9539279889584	38.9144414680804	38.8171380311481	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Gibraltar	GIB	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Greece	GRC	19.1631306655512	15.1706421891044	14.6516732723629	14.6302530381647	14.6239363831324	14.620502654035	14.6049774559365	14.6118846820002	14.6327453848717	14.6382114645175	14.602327037084	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Greenland	GRL	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Grenada	GRD	38.9215462268658	35.0314898642	28.6367980538099	28.227529008794	27.8739764904409	27.510341335728	27.2856191110688	27.0241571542341	26.7653113255652	26.5766485815569	26.4835010531243	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Guam	GUM	29.8677212182523	30.4864544705398	28.7857160902408	28.345650938033	27.9061410532023	27.5025087807326	27.049944671698	26.6278476969663	26.2334893805149	25.8500802778988	25.4666391971039	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Guatemala	GTM	45.3826354770031	42.9369405902815	40.5759931652025	40.0917805860441	39.5932787780414	39.0956282949372	38.5775332773395	38.086601527163	37.6074236655853	37.1209592410949	36.6228215230139	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Guinea	GIN	43.803895936449	44.2395613674707	43.8354572228908	43.6785029685378	43.5031267001811	43.3193708986029	43.2074349761686	43.074343135433	42.9209858858593	42.7412444288543	42.5319960439668	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Guinea-Bissau	GNB	44.6235968672837	43.7448639444147	42.196246813091	41.9614383719135	41.7250531051482	41.502304497135	41.3969091292607	41.2739849062766	41.1368372888185	40.9783767181909	40.7929188185379	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Guyana	GUY	35.1122199360806	35.8254582885352	35.7583706838976	35.0469725810591	34.4001790212175	33.8349956594572	32.6820420620652	31.6876096043037	30.7639747553654	29.807839579627	28.8069770625159	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Haiti	HTI	43.1198187312114	40.3318110859938	37.1292413339056	36.7275451230432	36.316564181317	35.8830843221295	35.484258577471	35.0487344136767	34.5956941493775	34.1552695324616	33.7413723581414	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Honduras	HND	45.4530288701856	42.4593149535165	38.2044922598072	37.4489046721042	36.6653943913517	35.8540087621396	35.042578713084	34.2001964547912	33.3498448667541	32.5293279810291	31.762798047321	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Hong Kong SAR, China	HKG	21.4878097021868	17.1996411293164	12.9199603522013	12.4741548371263	12.1888830129762	12.0600065488728	11.8268745782885	11.7639214977264	11.8124409367484	11.8907925410022	11.9606755394462	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Hungary	HUN	20.3884310356964	16.8179674852968	15.1391306438763	14.9252206239586	14.7550695563934	14.6441312427525	14.5808735063089	14.5455253860736	14.5359764469913	14.5422335113666	14.5587077777495	..
